record_id,source,content,review_title,published_at,likes,shares,views,rating,travel_type,language,hashtag,discovery_term,video_id,video_caption,comment_date_text,product_id,product_title,app_id,source_url,retrieved_at,clean_text,analysis_text
tiktok:00050a62d57e30f4,tiktok_comment,i see a lot of history ♥️,,,0,,,,,en,"#Wuyuan,#JiangnanTravel,#ChineseStyleGem,#MistyWuyuan",#TravelChina,7638107057895345152,"Rainy days in Wuyuan are pure magic! Misty fog drapes over ancient Jiangnan water town, stone bridges, running streams and old folk houses straight out of a Chinese ink painting, full of quiet charm and storybook vibes that heal your whole soul #Wuyuan #JiangnanTravel #ChineseStyleGem #MistyWuyuan",5-23,,,,https://www.tiktok.com/@loka.chinese.travel/video/7638107057895345421/,2026-08-17 07:20:45.549036+00:00,i see a lot of history ♥️,see lot history
tiktok:000e79223e2ab39b,tiktok_comment,tunggu saya samapi Sukes saya akan membawa keluarga saya ke China tunggu saya china 🥰,,,0,,,,,id,"#Wangxianvalley,#Shangrao,#Jiangxi,#China",#ExploreChina,7613669844013173760,""""" 🇨🇳 Wangxian Valley in Shangrao, Jiangxi, China, transforms into a mesmerizing fantasy wonderland at night. Traditional buildings perched on steep cliffs are lit up with golden light, creating a scene reminiscent of a fantasy world or a dramatic wuxia film. Artistic lights reflect off the river and the mist shrouds it, making it an iconic nighttime photography destination. 🇨🇳 """" #Wangxianvalley #Shangrao #Jiangxi #China ",3-20,,,,https://www.tiktok.com/@l1m_888_/video/7613669844013174024/,2026-07-23 05:54:14.003571+00:00,tunggu saya samapi Sukes saya akan membawa keluarga saya ke China tunggu saya china,tunggu samapi sukes membawa keluarga china tunggu china
tiktok:002b4ceb4a03d6a9,tiktok_comment,asi si dan ganas de ir,,,0,,,,,en,"#travelguide,#Chinatravel,#asianboy,#hiking,#chinahiking",#ChinaTravel,7654782158065683456,When you go mountain climbing in China but don't want to get too tired......#travelguide #Chinatravel #asianboy #hiking #chinahiking ,6-28,,,,https://www.tiktok.com/@jessi_guangzhou_tour/video/7654782158065683726/,2026-07-24 07:46:44.414119+00:00,asi si dan ganas de ir,asi si dan ganas de ir
tiktok:002e767e62dfa22c,tiktok_comment,The local hotels are AMAZING!!!!!,,,0,,,,,en,"#chinatravel,#travelhacks,#travelchina,#chinatips,#shanghai",#ChinaTravel,7665578391046736896,"Planning a trip to China? 🇨🇳 Avoid these 7 crucial mistakes that first-time travelers always make! From the passport rule you can't ignore to the ultimate public restroom survival hack, this guide has you covered. #chinatravel #travelhacks #travelchina #chinatips #shanghai",5h ago,,,,https://www.tiktok.com/@myraschinagem/video/7665578391046737182/,2026-07-24 07:31:29.799581+00:00,The local hotels are AMAZING!!,local hotels amazing
tiktok:002ef075b8b0b263,tiktok_comment,expensive? no,,,0,,,,,en,"#China,#ChinaTravel,#ChinaTrip,#Shenzhen",#VisitChina,7667243431424445440,"Shenzhen is expensive, but… People kept saying traveling in Shenzhen is expensive, but they don't consider how many of the sightseeing places are $0. The biggest highlight for us was taking the driverless taxi, and we were surprised that it didn't cost more than $2 for a 15-minute ride. The drone deliveries were really cool too, and we were also really lucky to watch the robot show for free during an exhibition in Coco Park. To Linardo and me, this is really cool and this city is really living in the future, but to the locals in Shenzhen, this is their everyday life—that's how advanced this city is 🔥 #China #ChinaTravel #ChinaTrip #Shenzhen",8-4,,,,https://www.tiktok.com/@nessahuangg/video/7667243431424445714/,2026-08-17 06:45:25.126426+00:00,expensive? no,expensive
tiktok:002ff59a8b400cd9,tiktok_comment,How do you make a living? Become an English teacher?,,,0,,,,,en,,#ChinaTravel,7662354605832965120,,7-15,,,,https://www.tiktok.com/@joycehysin/video/7662354605832965383/,2026-07-24 07:32:06.138966+00:00,How do you make a living? Become an English teacher?,make living become english teacher
tiktok:0033697a61941994,tiktok_comment,Absolutely loved it here! 🔥😭,,,0,,,,,en,"#luxchongzuo,#china,#travel",#TravelChina,7656503075309423616,Dreamiest resort in China😍 #luxchongzuo #china #travel  ,6-30,,,,https://www.tiktok.com/@princessragonn/video/7656503075309423894/,2026-07-23 06:05:45.032163+00:00,Absolutely loved it here!,absolutely loved
tiktok:003576336caa028a,tiktok_comment,Say xe đi này nổi hog shop ui,,,0,,,,,vi,"#datminhtran,#trungquoc,#tourtrungquoc,#daily,#conminh",#ChinaTravel,7662986963665898496,Review Tour Trung Quốc Đại Lí Côn Minh 4N3Đ #datminhtran #trungquoc #tourtrungquoc #daily #conminh ,4d ago,,,,https://www.tiktok.com/@dattr.1/video/7662986963665898759/,2026-07-23 05:47:27.867375+00:00,Say xe đi này nổi hog shop ui,say xe đi này nổi hog shop ui
tiktok:003b5f94e7148a1d,tiktok_comment,Bên nguyệt china đi ok không b,,,0,,,,,vi,,#ChinaTour,7637479370810133504,,5-8,,,,https://www.tiktok.com/@chutieuhan10012001/video/7637479370810133781/,2026-08-17 08:05:51.143712+00:00,Bên nguyệt china đi ok không b,bên nguyệt china đi ok không
tiktok:0069a30ef81ef6d1,tiktok_comment,That place looks so amazing thank you for sharing 🤩🤩,,,0,,,,,en,"#shenzhen,#shenzhenchina,#lifeinchina,#travelchina,#livinginchina",#ChinaTravel,7656384468005014528,The science and technology museum in Shenzhen China is huge!!!! #shenzhen #shenzhenchina #lifeinchina #travelchina #livinginchina ,3d ago,,,,https://www.tiktok.com/@bradinchina/video/7656384468005014805/,2026-07-24 07:37:09.921733+00:00,That place looks so amazing thank you for sharing,place looks amazing thank sharing
tiktok:006af0c243b9757e,tiktok_comment,Hello my dear !! I have a stop to nanjing do you think is safe to visit the city alone ?,,,0,,,,,en,"#livinginlagos,#lifeinchina,#livinginchina,#timithompson,#chinatravel",#VisitChina,7556661943877012480,"Save this video if you’re visiting China soon. I put together a few apps and basics that will make life here easier, from getting around and staying connected to paying, eating and staying safe. Quick note: I’m not a visa agent or job consultant, so I can’t help with visas or jobs. Everything here is simply from my own experience living in China. #livinginlagos #lifeinchina #livinginchina #timithompson #chinatravel ",4-6,,,,https://www.tiktok.com/@timi.thompson/video/7556661943877012758/,2026-08-17 07:56:58.345196+00:00,Hello my dear !! I have a stop to nanjing do you think is safe to visit the city alone ?,hello dear stop nanjing think safe visit city alone
tiktok:0073ebb6b0146406,tiktok_comment,Ohhh pretty,,,0,,,,,en,"#Wuyuan,#JiangnanTravel,#ChineseStyleGem,#MistyWuyuan",#TravelChina,7638107057895345152,"Rainy days in Wuyuan are pure magic! Misty fog drapes over ancient Jiangnan water town, stone bridges, running streams and old folk houses straight out of a Chinese ink painting, full of quiet charm and storybook vibes that heal your whole soul #Wuyuan #JiangnanTravel #ChineseStyleGem #MistyWuyuan",6-24,,,,https://www.tiktok.com/@loka.chinese.travel/video/7638107057895345421/,2026-08-17 07:20:45.549036+00:00,Ohhh pretty,ohhh pretty
tiktok:0076f907a969e71a,tiktok_comment,"it's during Canton fair, which makes everything expensive",,,0,,,,,en,"#chinatravel,#traveltok",#ChinaTour,7674522069404486656,Why is my China tour more expensive #chinatravel #traveltok ,5h ago,,,,https://www.tiktok.com/@linglongmandarin/video/7674522069404486942/,2026-08-17 06:55:09.057850+00:00,"it's during Canton fair, which makes everything expensive",canton fair makes everything expensive
tiktok:00777bca42d9866e,tiktok_comment,"kok lewat Mulu sihh,,curiga aku bakalan ke sana aminn ya Allah",,,0,,,,,id,"#fyp,#travel,#China",#ChinaTravel,7655117006097763328,"Thousand-House Miao Village in Guizhou, China #fyp #travel #China ",7-4,,,,https://www.tiktok.com/@suny04322/video/7655117006097763616/,2026-07-23 05:39:13.627144+00:00,"kok lewat Mulu sihh,,curiga aku bakalan ke sana aminn ya Allah",mulu sihh aminn ya allah
tiktok:007bfbca69dcf9a3,tiktok_comment,Lovely culture 🥰,,,0,,,,,en,"#chongqing,#chinesedance,#cdrama,#china,#chinatiktok",#VisitChina,7655218785481280512,"📍Chongqing Qing Yu Yan Imperial Feast Experience, Chongqing 🎟️Use my code “CLARARGHKLOOK"" for a discount when you book on Klook Follow for more travel tips and content 🤍 #chongqing #chinesedance #cdrama #china #chinatiktok ",7-28,,,,https://www.tiktok.com/@claraaarghh/video/7655218785481280789/,2026-08-17 07:43:44.536166+00:00,Lovely culture,lovely culture
tiktok:008067fa6afeb802,tiktok_comment,How far from Shanghai?,,,0,,,,,en,"#china,#furong,#coupletravel,#bucketlist,#hiddengems",#VisitChina,7557031102364290048,This little town in China feels like a movie 🤯 #china #furong #coupletravel #bucketlist #hiddengems ,2025-10-5,,,,https://www.tiktok.com/@byjennybayer/video/7557031102364290359/,2026-08-17 06:51:17.434253+00:00,How far from Shanghai?,far shanghai
tiktok:0087f23c4576be27,tiktok_comment,Is it safe for swimming? Because there's no one around...,,,0,,,,,en,"#fyp,#tellme,#traveltiktok,#china,#hainan",#ChinaTravel,7661699573282278400,"Can you believe that this is the real China  China is not the country that the west has told us it is, at least from a tourist perspective. When i orginally came here i was nervous, hesitant, I didn’t know what to expect.  But now i have been to 15 cities, almost 10 provinces, spoke with hundreds of people, and learned that China is like every other country in the world. It has people that work, laugh, talk, vacation, it’s a normal place.  This is Sanya in Hainan #fyp #tellme #traveltiktok #china #hainan ",7-13,,,,https://www.tiktok.com/@christian.grossi/video/7661699573282278686/,2026-07-24 07:36:00.279442+00:00,Is it safe for swimming? Because there's no one around...,safe swimming one around
tiktok:0089a70d4b21e6ef,tiktok_comment,Let's not exaggerate. 5 star hotels can easily cost $200+ in Sanya. The Atlantis and The Edition cost $400+.,,,0,,,,,en,"#fyp,#tellme,#traveltiktok,#china,#hainan",#ChinaTravel,7661712451846589440,Can you believe what it costs to travel/live in China  This is in Sanya which is Chinas version of Hawaii. Here prices are higher than most cities except Shenzhen of Shanghai. However it’s unbelievable how affordable it is as a tourist.  Average cost of things in China: Hotel $40 Chinese meal $4 Western meal $10 Uber $2.50 Metro $0.60  Train $12  #fyp #tellme #traveltiktok #china #hainan ,7-15,,,,https://www.tiktok.com/@christian.grossi/video/7661712451846589726/,2026-07-24 07:32:34.452411+00:00,Let's not exaggerate. 5 star hotels can easily cost $200+ in Sanya. The Atlantis and The Edition cost $400+.,let star hotels easily cost atlantis edition cost
tiktok:00967d630ead3711,tiktok_comment,It looks like it came out of a Ghibli movie!,,,0,,,,,en,"#Sichuan,#ChinaView,#Vibes,#Nature",#ChinaTravel,7629051143234128896,"Daocheng Yading, hidden deep in Sichuan, China.  On the edge of the Qinghai–Xizang Plateau, where snow peaks touch the sky and silence feels sacred.  Three holy mountains rise above everything — Xiannairi, Yangmaiyong, and Xianuoduoji.  Below them, crystal lakes shimmer in impossible shades of blue.  This is Yading — “the land of sunlight.” And many believe it’s the last untouched paradise on Earth.  #🇨🇳 #Sichuan #ChinaView #Vibes #Nature",6-5,,,,https://www.tiktok.com/@a.great.soul/video/7629051143234129170/,2026-08-17 07:16:56.141798+00:00,It looks like it came out of a Ghibli movie!,looks like came ghibli movie
